name	value	category
Trichoplusia_ni	0.4	bF
Trichoplusia_ni	1.9	aM
Spodoptera_exigua	95.9	dS
Spodoptera_exigua	1.7	cD
Spodoptera_exigua	0.2	bF
Spodoptera_exigua	2.2	aM
Spodoptera_frugiperda	90.1	dS
Spodoptera_frugiperda	2.4	cD
Spodoptera_frugiperda	1.3	bF
Spodoptera_frugiperda	6.2	aM
Spodoptera_litura	97.6	dS
Spodoptera_litura	0.8	cD
Spodoptera_litura	0.4	bF
Spodoptera_litura	1.2	aM
Mamestra_configurata	88.6	dS
Mamestra_configurata	0.9	cD
Mamestra_configurata	6.2	bF
Mamestra_configurata	4.3	aM
Heliothis_virescens	86.8	dS
Heliothis_virescens	2.6	cD
Heliothis_virescens	2.2	bF
Heliothis_virescens	8.4	aM
Helicoverpa_armigera	97	dS
Helicoverpa_armigera	0.4	cD
Helicoverpa_armigera	1.3	bF
Helicoverpa_armigera	1.3	aM
Helicoverpa_zea	95.7	dS
Helicoverpa_zea	1	cD
Helicoverpa_zea	1	bF
Helicoverpa_zea	2.3	aM
Busseola_fusca	69	dS
Busseola_fusca	0.4	cD
Busseola_fusca	18.5	bF
Busseola_fusca	12.1	aM
Agrotis_ipsilon	97.1	dS
Agrotis_ipsilon	0.8	cD
Agrotis_ipsilon	0.5	bF
Agrotis_ipsilon	1.6	aM
Lymantria_dispar_dispar	89.8	dS
Lymantria_dispar_dispar	0.5	cD
Lymantria_dispar_dispar	4.3	bF
Lymantria_dispar_dispar	5.4	aM
Calycopis_cecrops	92.9	dS
Calycopis_cecrops	1.7	cD
Calycopis_cecrops	2.6	bF
Calycopis_cecrops	2.8	aM
Dendrolimus_punctatus	94.1	dS
Dendrolimus_punctatus	2.3	cD
Dendrolimus_punctatus	1.2	bF
Dendrolimus_punctatus	2.4	aM
Megathymus_ursus_violae	98.3	dS
Megathymus_ursus_violae	0.2	cD
Megathymus_ursus_violae	0.4	bF
Megathymus_ursus_violae	1.1	aM
Lerema_accius	95.3	dS
Lerema_accius	0.4	cD
Lerema_accius	2.3	bF
Lerema_accius	2	aM
Epargyreus_clarus_clarus	78.1	dS
Epargyreus_clarus_clarus	8.1	cD
Epargyreus_clarus_clarus	1.5	bF
Epargyreus_clarus_clarus	12.3	aM
Cecropterus_lyciades	96.5	dS
Cecropterus_lyciades	0.4	cD
Cecropterus_lyciades	1.3	bF
Cecropterus_lyciades	1.8	aM
Conopomorpha_cramerella	63.7	dS
Conopomorpha_cramerella	9.1	cD
Conopomorpha_cramerella	13.4	bF
Conopomorpha_cramerella	13.8	aM
Operophtera_brumata	92	dS
Operophtera_brumata	2.5	cD
Operophtera_brumata	2.8	bF
Operophtera_brumata	2.7	aM
Tuta_absoluta	63.1	dS
Tuta_absoluta	27.8	cD
Tuta_absoluta	4.5	bF
Tuta_absoluta	4.6	aM
Hyphantria_cunea	97	dS
Hyphantria_cunea	0.7	cD
Hyphantria_cunea	0.7	bF
Hyphantria_cunea	1.6	aM
Arctia_plantaginis	95.1	dS
Arctia_plantaginis	0.7	cD
Arctia_plantaginis	0.4	bF
Arctia_plantaginis	3.8	aM
Ostrinia_nubilalis	91.1	dS
Ostrinia_nubilalis	1.1	cD
Ostrinia_nubilalis	3.5	bF
Ostrinia_nubilalis	4.3	aM
Ostrinia_furnacalis	96.9	dS
Ostrinia_furnacalis	1	cD
Ostrinia_furnacalis	0.6	bF
Ostrinia_furnacalis	1.5	aM
Diatraea_saccharalis	86.5	dS
Diatraea_saccharalis	0.4	cD
Diatraea_saccharalis	8.8	bF
Diatraea_saccharalis	4.3	aM
Cnaphalocrocis_medinalis	92.1	dS
Cnaphalocrocis_medinalis	2.7	cD
Cnaphalocrocis_medinalis	1.3	bF
Cnaphalocrocis_medinalis	3.9	aM
Chilo_suppressalis	94.5	dS
Chilo_suppressalis	1.9	cD
Chilo_suppressalis	1.2	bF
Chilo_suppressalis	2.4	aM
Hyposmocoma_kahamanoa	91.9	dS
Hyposmocoma_kahamanoa	1	cD
Hyposmocoma_kahamanoa	2.4	bF
Hyposmocoma_kahamanoa	4.7	aM
Carposina_sasakii	96.9	dS
Carposina_sasakii	0.8	cD
Carposina_sasakii	0.4	bF
Carposina_sasakii	1.9	aM
Bombyx_mori	97.7	dS
Bombyx_mori	1	cD
Bombyx_mori	0.1	bF
Bombyx_mori	1.2	aM
Bombyx_mandarina	93.9	dS
Bombyx_mandarina	0.6	cD
Bombyx_mandarina	0.3	bF
Bombyx_mandarina	5.2	aM
Bombyx_huttoni	39.9	dS
Bombyx_huttoni	0.2	cD
Bombyx_huttoni	32.5	bF
Bombyx_huttoni	27.4	aM
Adela_reaumurella	45.6	dS
Adela_reaumurella	0.6	cD
Adela_reaumurella	33.3	bF
Adela_reaumurella	20.5	aM
Vespula_germanica	98	dS
Vespula_germanica	0	cD
Vespula_germanica	0.9	bF
Vespula_germanica	1.1	aM
Vespula_vulgaris	98.7	dS
Vespula_vulgaris	0.1	cD
Vespula_vulgaris	0.4	bF
Vespula_vulgaris	0.8	aM
Vespula_pensylvanica	99.5	dS
Vespula_pensylvanica	0.1	cD
Vespula_pensylvanica	0	bF
Vespula_pensylvanica	0.4	aM
Vespa_mandarinia	98.9	dS
Vespa_mandarinia	0.4	cD
Vespa_mandarinia	0	bF
Vespa_mandarinia	0.7	aM
Polistes_fuscatus	98.4	dS
Polistes_fuscatus	0.7	cD
Polistes_fuscatus	0.3	bF
Polistes_fuscatus	0.6	aM
Polistes_metricus	98.4	dS
Polistes_metricus	1.1	cD
Polistes_metricus	0	bF
Polistes_metricus	0.5	aM
Polistes_dorsalis	98.9	dS
Polistes_dorsalis	0.4	cD
Polistes_dorsalis	0	bF
Polistes_dorsalis	0.7	aM
Polistes_dominula	98.8	dS
Polistes_dominula	0.4	cD
Polistes_dominula	0.1	bF
Polistes_dominula	0.7	aM
Polistes_canadensis	98.7	dS
Polistes_canadensis	0.4	cD
Polistes_canadensis	0.2	bF
Polistes_canadensis	0.7	aM
Trichogramma_brassicae	93.2	dS
Trichogramma_brassicae	2.7	cD
Trichogramma_brassicae	1	bF
Trichogramma_brassicae	3.1	aM
Trichogramma_evanescens	93.9	dS
Trichogramma_evanescens	3.3	cD
Trichogramma_evanescens	1	bF
Trichogramma_evanescens	1.8	aM
Trichogramma_pretiosum	95.5	dS
Trichogramma_pretiosum	2.6	cD
Trichogramma_pretiosum	0.2	bF
Trichogramma_pretiosum	1.7	aM
Torymus_geranii	83.6	dS
Torymus_geranii	0.9	cD
Torymus_geranii	9.7	bF
Torymus_geranii	5.8	aM
Torymus_auratus	91.7	dS
Torymus_auratus	1.7	cD
Torymus_auratus	3.3	bF
Torymus_auratus	3.3	aM
Athalia_rosae	99.5	dS
Athalia_rosae	0.2	cD
Athalia_rosae	0	bF
Athalia_rosae	0.3	aM
Trichomalopsis_sarcophagae	96.7	dS
Trichomalopsis_sarcophagae	0.9	cD
Trichomalopsis_sarcophagae	1	bF
Trichomalopsis_sarcophagae	1.4	aM
Pteromalus_puparum	96.9	dS
Pteromalus_puparum	1	cD
Pteromalus_puparum	0.6	bF
Pteromalus_puparum	1.5	aM
Nasonia_vitripennis	97.4	dS
Nasonia_vitripennis	0.7	cD
Nasonia_vitripennis	0.5	bF
Nasonia_vitripennis	1.4	aM
Nasonia_longicornis	94.2	dS
Nasonia_longicornis	0.8	cD
Nasonia_longicornis	1.8	bF
Nasonia_longicornis	3.2	aM
Nasonia_giraulti	94.4	dS
Nasonia_giraulti	0.7	cD
Nasonia_giraulti	1.7	bF
Nasonia_giraulti	3.2	aM
Cecidostiba_fungosa	93	dS
Cecidostiba_fungosa	1.1	cD
Cecidostiba_fungosa	0.5	bF
Cecidostiba_fungosa	5.4	aM
Cecidostiba_semifascia	92	dS
Cecidostiba_semifascia	1	cD
Cecidostiba_semifascia	3.4	bF
Cecidostiba_semifascia	3.6	aM
Orussus_abietinus	98	dS
Orussus_abietinus	0.4	cD
